"id","data_ciclo","time_stamp"
1,,2025-05-15 19:25:02.661
2,,2025-05-15 19:28:16.464
3,,2025-05-15 19:28:58.277
4,,2025-05-15 19:29:50.132
5,,2025-05-15 19:30:18.030
6,,2025-05-15 19:30:55.463
7,,2025-05-15 19:31:34.049
8,,2025-05-15 19:32:16.134
9,,2025-05-15 19:32:55.730
10,,2025-05-15 19:34:31.128
11,,2025-05-15 19:35:13.143
12,,2025-05-15 19:35:54.010
13,,2025-05-15 19:36:33.139
14,,2025-05-15 19:37:29.348
15,,2025-05-15 19:37:59.841
