"id","data_cadastro","dimensao","disponivel","gps","nome","time_stamp"
1,2025-05-15,"90x190",true,"G5WX+234 Centro, Nortelândia - MT",Pimenteiras,2025-05-15 19:22:57.907
2,2025-05-15,"200x200",true,"G5WX+23F Centro, Nortelândia - MT",Produção,2025-05-15 19:34:11.055
